,representative
7913,Dean Phillips
7914,Dean Phillips
7915,Dean Phillips
7916,Dean Phillips
7917,Dean Phillips
7918,Dean Phillips
7919,Dean Phillips
7920,Dean Phillips
7921,Dean Phillips
7922,Dean Phillips
7923,Dean Phillips
7924,Dean Phillips
7925,Dean Phillips
7926,Dean Phillips
7927,Dean Phillips
7928,Dean Phillips
7929,Dean Phillips
7930,Dean Phillips
7931,Dean Phillips
7932,Dean Phillips
7933,Dean Phillips
7934,Dean Phillips
7935,Dean Phillips
7936,Dean Phillips
7937,Dean Phillips
7938,Dean Phillips
7939,Dean Phillips
7940,Dean Phillips
7941,Dean Phillips
7942,Dean Phillips
7943,Dean Phillips
7944,Dean Phillips
7945,Dean Phillips
7946,Dean Phillips
7947,Dean Phillips
7948,Dean Phillips
7949,Dean Phillips
7950,Dean Phillips
7951,Dean Phillips
7952,Dean Phillips
7953,Dean Phillips
7954,Dean Phillips
7955,Dean Phillips
7956,Dean Phillips
7957,Dean Phillips
7958,Dean Phillips
7959,Dean Phillips
7960,Dean Phillips
7961,Dean Phillips
7962,Dean Phillips
7963,Dean Phillips
7964,Dean Phillips
7965,Dean Phillips
7966,Dean Phillips
7967,Dean Phillips
7968,Dean Phillips
7969,Dean Phillips
7970,Dean Phillips
7971,Dean Phillips
7972,Dean Phillips
7973,Dean Phillips
7974,Dean Phillips
7975,Matt Gaetz
7976,Matt Gaetz
7977,Matt Gaetz
7978,Ann Wagner
7979,Earl Blumenauer
7980,Lloyd Doggett
7981,Brian Mast
7982,Virginia Foxx
7983,Virginia Foxx
7984,Virginia Foxx
7985,Virginia Foxx
7986,Virginia Foxx
7987,Virginia Foxx
7988,Virginia Foxx
7989,Virginia Foxx
7990,Virginia Foxx
7991,Virginia Foxx
7992,Virginia Foxx
7993,Virginia Foxx
7994,Virginia Foxx
7995,Virginia Foxx
7996,Virginia Foxx
7997,Virginia Foxx
7998,Virginia Foxx
7999,Virginia Foxx
8000,Virginia Foxx
8001,Virginia Foxx
8002,Virginia Foxx
8003,Virginia Foxx
8004,Virginia Foxx
8005,Virginia Foxx
8006,Virginia Foxx
8007,Virginia Foxx
8008,David E. Price
8009,Brian Mast
8010,Brian Mast
8011,Brian Mast
8012,Brian Mast
8013,Michael T. McCaul
8014,Michael T. McCaul
8015,Michael T. McCaul
8016,Michael T. McCaul
8017,Michael T. McCaul
8018,Michael T. McCaul
8019,Michael T. McCaul
8020,Michael T. McCaul
8021,Michael T. McCaul
8022,Michael T. McCaul
8023,Michael T. McCaul
8024,Michael T. McCaul
8025,Michael T. McCaul
8026,Michael T. McCaul
8027,Michael T. McCaul
8028,Michael T. McCaul
8029,Michael T. McCaul
8030,Michael T. McCaul
8031,Michael T. McCaul
8032,Michael T. McCaul
8033,Michael T. McCaul
8034,Michael T. McCaul
8035,Michael T. McCaul
8036,Michael T. McCaul
8037,Michael T. McCaul
8038,Michael T. McCaul
8039,Michael T. McCaul
8040,Michael T. McCaul
8041,Michael T. McCaul
8042,Michael T. McCaul
8043,Michael T. McCaul
8044,Michael T. McCaul
8045,Michael T. McCaul
8046,Michael T. McCaul
8047,Michael T. McCaul
8048,Michael T. McCaul
8049,Michael T. McCaul
8050,Michael T. McCaul
8051,Michael T. McCaul
8052,Michael T. McCaul
8053,Michael T. McCaul
8054,Michael T. McCaul
8055,Michael T. McCaul
8056,Michael T. McCaul
8057,Michael T. McCaul
8058,Michael T. McCaul
8059,Michael T. McCaul
8060,Michael T. McCaul
8061,Michael T. McCaul
8062,Michael T. McCaul
8063,Michael T. McCaul
8064,Michael T. McCaul
8065,Michael T. McCaul
8066,Michael T. McCaul
8067,Michael T. McCaul
8068,Michael T. McCaul
8069,Michael T. McCaul
8070,Michael T. McCaul
8071,Michael T. McCaul
8072,Michael T. McCaul
8073,Michael T. McCaul
8074,Michael T. McCaul
8075,Michael T. McCaul
8076,Michael T. McCaul
8077,Michael T. McCaul
8078,Michael T. McCaul
8079,Michael T. McCaul
8080,Michael T. McCaul
8081,Michael T. McCaul
8082,Michael T. McCaul
8083,Michael T. McCaul
8084,Michael T. McCaul
8085,Michael T. McCaul
8086,Michael T. McCaul
8087,Michael T. McCaul
8088,Michael T. McCaul
8089,Michael T. McCaul
8090,Michael T. McCaul
8091,Michael T. McCaul
8092,Michael T. McCaul
8093,Michael T. McCaul
8094,Michael T. McCaul
8095,Michael T. McCaul
8096,Michael T. McCaul
8097,Michael T. McCaul
8098,Michael T. McCaul
8099,Michael T. McCaul
8100,Michael T. McCaul
8101,Michael T. McCaul
8102,Michael T. McCaul
8103,Michael T. McCaul
8104,Michael T. McCaul
8105,Michael T. McCaul
8106,Michael T. McCaul
8107,Michael T. McCaul
8108,Michael T. McCaul
8109,Michael T. McCaul
8110,Michael T. McCaul
8111,Michael T. McCaul
8112,Michael T. McCaul
8113,Michael T. McCaul
8114,Michael T. McCaul
8115,Michael T. McCaul
8116,Michael T. McCaul
8117,Michael T. McCaul
8118,Michael T. McCaul
8119,Michael T. McCaul
8120,Michael T. McCaul
8121,Michael T. McCaul
8122,Michael T. McCaul
8123,Michael T. McCaul
8124,Michael T. McCaul
8125,Michael T. McCaul
8126,Michael T. McCaul
8127,Michael T. McCaul
8128,Michael T. McCaul
8129,Michael T. McCaul
8130,Michael T. McCaul
8131,Michael T. McCaul
8132,Michael T. McCaul
8133,Michael T. McCaul
8134,Michael T. McCaul
8135,Michael T. McCaul
8136,Michael T. McCaul
8137,Michael T. McCaul
8138,Michael T. McCaul
8139,Michael T. McCaul
8140,Michael T. McCaul
8141,Michael T. McCaul
8142,Michael T. McCaul
8143,Michael T. McCaul
8144,Michael T. McCaul
8145,Michael T. McCaul
8146,Michael T. McCaul
8147,Michael T. McCaul
8148,Michael T. McCaul
8149,Michael T. McCaul
8150,Michael T. McCaul
8151,Michael T. McCaul
8152,Michael T. McCaul
8153,Michael T. McCaul
8154,Michael T. McCaul
8155,Lois Frankel
8156,Lois Frankel
8157,Lois Frankel
8158,Lois Frankel
8159,Lois Frankel
8160,Lois Frankel
8161,Lois Frankel
8162,Lois Frankel
8163,Lois Frankel
8164,Lois Frankel
8165,Nancy Pelosi
8166,K. Michael Conaway
8167,K. Michael Conaway
8168,K. Michael Conaway
8169,K. Michael Conaway
8170,K. Michael Conaway
8171,K. Michael Conaway
8172,K. Michael Conaway
8173,K. Michael Conaway
8174,K. Michael Conaway
8175,K. Michael Conaway
8176,K. Michael Conaway
8177,K. Michael Conaway
8178,K. Michael Conaway
8179,K. Michael Conaway
8180,K. Michael Conaway
8181,K. Michael Conaway
8182,K. Michael Conaway
8183,K. Michael Conaway
8184,K. Michael Conaway
8185,K. Michael Conaway
8186,K. Michael Conaway
8187,K. Michael Conaway
8188,K. Michael Conaway
8189,K. Michael Conaway
8190,K. Michael Conaway
8191,K. Michael Conaway
8192,K. Michael Conaway
8193,K. Michael Conaway
8194,K. Michael Conaway
8195,K. Michael Conaway
8196,K. Michael Conaway
8197,K. Michael Conaway
8198,K. Michael Conaway
8199,K. Michael Conaway
8200,K. Michael Conaway
8201,K. Michael Conaway
8202,K. Michael Conaway
8203,K. Michael Conaway
8204,K. Michael Conaway
8205,K. Michael Conaway
8206,K. Michael Conaway
8207,K. Michael Conaway
8208,K. Michael Conaway
8209,K. Michael Conaway
8210,K. Michael Conaway
8211,K. Michael Conaway
8212,K. Michael Conaway
8213,K. Michael Conaway
8214,K. Michael Conaway
8215,K. Michael Conaway
8216,K. Michael Conaway
8217,K. Michael Conaway
8218,K. Michael Conaway
8219,Ed Perlmutter
8220,Ed Perlmutter
8221,Earl Blumenauer
8222,Earl Blumenauer
8223,Earl Blumenauer
8224,Earl Blumenauer
8225,Earl Blumenauer
8226,Earl Blumenauer
8227,Earl Blumenauer
8228,Earl Blumenauer
8229,Lloyd Doggett
8230,James R. Langevin
8231,James R. Langevin
8232,James R. Langevin
8233,James R. Langevin
8234,Roger W. Marshall
8235,Roger W. Marshall
8236,Roger W. Marshall
8237,Roger W. Marshall
8238,Roger W. Marshall
8239,Roger W. Marshall
8240,Roger W. Marshall
8241,Roger W. Marshall
8242,Roger W. Marshall
8243,Roger W. Marshall
8244,Roger W. Marshall
8245,David B. McKinley
8246,David B. McKinley
8247,Marie Newman
8248,Marie Newman
8249,Marie Newman
8250,Doug Lamborn
8251,Doug Lamborn
8252,Doug Lamborn
8253,Doug Lamborn
8254,Doug Lamborn
8255,Doug Lamborn
8256,Susie Lee
8257,Susie Lee
8258,Susie Lee
8259,Blake Moore
8260,Bill Huizenga
8261,Doug Lamborn
8262,Doug Lamborn
8263,Doug Lamborn
8264,Doug Lamborn
8265,Doug Lamborn
8266,Doug Lamborn
8267,Doug Lamborn
8268,Doug Lamborn
8269,Doug Lamborn
8270,Judy Chu
8271,James French Hill
8272,James French Hill
8273,James French Hill
8274,James French Hill
8275,James French Hill
8276,James French Hill
8277,Austin Scott
8278,Austin Scott
8279,Austin Scott
8280,Austin Scott
8281,Austin Scott
8282,Austin Scott
8283,Austin Scott
8284,Austin Scott
8285,Austin Scott
8286,Austin Scott
8287,Austin Scott
8288,Austin Scott
8289,Austin Scott
8290,Austin Scott
8291,Austin Scott
8292,Austin Scott
8293,Austin Scott
8294,Austin Scott
8295,Austin Scott
8296,Joseph P. Kennedy
8297,Alan S. Lowenthal
8298,Alan S. Lowenthal
8299,Alan S. Lowenthal
8300,Alan S. Lowenthal
8301,Alan S. Lowenthal
8302,Nancy Pelosi
8303,Nancy Pelosi
8304,Nancy Pelosi
8305,Nancy Pelosi
8306,Earl Blumenauer
8307,John Garamendi
8308,John Garamendi
8309,John Garamendi
8310,John Garamendi
8311,Alan S. Lowenthal
8312,Alan S. Lowenthal
8313,Alan S. Lowenthal
8314,Alan S. Lowenthal
8315,Alan S. Lowenthal
8316,Harold Dallas Rogers
8317,Harold Dallas Rogers
8318,Vern Buchanan
8319,Vern Buchanan
8320,Vern Buchanan
8321,Vern Buchanan
8322,Vern Buchanan
8323,Vern Buchanan
8324,Vern Buchanan
8325,Vern Buchanan
8326,Vern Buchanan
8327,Vern Buchanan
8328,Vern Buchanan
8329,Vern Buchanan
8330,Vern Buchanan
8331,Vern Buchanan
8332,Vern Buchanan
8333,Vern Buchanan
8334,Vern Buchanan
8335,Vern Buchanan
8336,Vern Buchanan
8337,Vern Buchanan
8338,Vern Buchanan
8339,Vern Buchanan
8340,Vern Buchanan
8341,Susan W. Brooks
8342,Susan W. Brooks
8343,Susan W. Brooks
8344,Susan W. Brooks
8345,Susan W. Brooks
8346,Susan W. Brooks
8347,Susan W. Brooks
8348,Susan W. Brooks
8349,Susan W. Brooks
8350,Susan W. Brooks
8351,Susan W. Brooks
8352,Susan W. Brooks
8353,Lois Frankel
8354,Lois Frankel
8355,Lois Frankel
8356,Lois Frankel
8357,Lois Frankel
8358,Lois Frankel
8359,Lois Frankel
8360,Lois Frankel
8361,Lois Frankel
8362,Lois Frankel
8363,Lois Frankel
8364,Lois Frankel
8365,Donna Shalala
8366,Donna Shalala
8367,Donna Shalala
8368,Donna Shalala
8369,Donna Shalala
8370,Donna Shalala
8371,Donna Shalala
8372,Donna Shalala
8373,Donna Shalala
8374,Donna Shalala
8375,Donna Shalala
8376,Donna Shalala
8377,Donna Shalala
8378,Donna Shalala
8379,Donna Shalala
8380,Donna Shalala
8381,Donna Shalala
8382,Donna Shalala
8383,Donna Shalala
8384,Donna Shalala
8385,Donna Shalala
8386,Donna Shalala
8387,Donna Shalala
8388,Donna Shalala
8389,Donna Shalala
8390,Donna Shalala
8391,Donna Shalala
8392,Donna Shalala
8393,Donna Shalala
8394,Donna Shalala
8395,Donna Shalala
8396,Donna Shalala
8397,Donna Shalala
8398,Donna Shalala
8399,Donna Shalala
8400,Donna Shalala
8401,Donna Shalala
8402,Donna Shalala
8403,Donna Shalala
8404,Donna Shalala
8405,Donna Shalala
8406,Donna Shalala
8407,Donna Shalala
8408,Donna Shalala
8409,Donna Shalala
8410,Donna Shalala
8411,Donna Shalala
8412,Donna Shalala
8413,Donna Shalala
8414,Donna Shalala
8415,Donna Shalala
8416,Donna Shalala
8417,Donna Shalala
8418,Donna Shalala
8419,Donna Shalala
8420,Donna Shalala
8421,Donna Shalala
8422,Donna Shalala
8423,Donna Shalala
8424,Donna Shalala
8425,Donna Shalala
8426,Donna Shalala
8427,Donna Shalala
8428,Donna Shalala
8429,Donna Shalala
8430,Donna Shalala
8431,Donna Shalala
8432,Donna Shalala
8433,Donna Shalala
8434,Donna Shalala
8435,Donna Shalala
8436,Donna Shalala
8437,Donna Shalala
8438,Donna Shalala
8439,Donna Shalala
8440,Donna Shalala
8441,Donna Shalala
8442,Donna Shalala
8443,Donna Shalala
8444,Donna Shalala
8445,Donna Shalala
8446,Donna Shalala
8447,Donna Shalala
8448,Donna Shalala
8449,Donna Shalala
8450,Donna Shalala
8451,Donna Shalala
8452,Donna Shalala
8453,Donna Shalala
8454,Donna Shalala
8455,Donna Shalala
8456,Donna Shalala
8457,Donna Shalala
8458,Donna Shalala
8459,Donna Shalala
8460,Donna Shalala
8461,Donna Shalala
8462,Donna Shalala
8463,Donna Shalala
8464,Donna Shalala
8465,Donna Shalala
8466,Donna Shalala
8467,Donna Shalala
8468,Donna Shalala
8469,Donna Shalala
8470,Donna Shalala
8471,Donna Shalala
8472,Donna Shalala
8473,Donna Shalala
8474,Donna Shalala
8475,Donna Shalala
8476,Donna Shalala
8477,Donna Shalala
8478,Donna Shalala
8479,Donna Shalala
8480,Donna Shalala
8481,Donna Shalala
8482,Donna Shalala
8483,Donna Shalala
8484,Donna Shalala
8485,Donna Shalala
8486,Donna Shalala
8487,Donna Shalala
8488,Donna Shalala
8489,Donna Shalala
8490,Donna Shalala
8491,Donna Shalala
8492,Donna Shalala
8493,Donna Shalala
8494,Donna Shalala
8495,Donna Shalala
8496,Donna Shalala
8497,Donna Shalala
8498,Donna Shalala
8499,Donna Shalala
8500,Donna Shalala
8501,Donna Shalala
8502,Donna Shalala
8503,Donna Shalala
8504,Donna Shalala
8505,Donna Shalala
8506,Donna Shalala
8507,Donna Shalala
8508,Donna Shalala
8509,Donna Shalala
8510,Donna Shalala
8511,Donna Shalala
8512,Donna Shalala
8513,Donna Shalala
8514,Donna Shalala
8515,Donna Shalala
8516,Donna Shalala
8517,Donna Shalala
8518,Donna Shalala
8519,Donna Shalala
8520,Donna Shalala
8521,Donna Shalala
8522,Donna Shalala
8523,Donna Shalala
8524,Donna Shalala
8525,Donna Shalala
8526,Donna Shalala
8527,Donna Shalala
8528,Donna Shalala
8529,Donna Shalala
8530,Donna Shalala
8531,Donna Shalala
8532,Donna Shalala
8533,Donna Shalala
8534,Donna Shalala
8535,Donna Shalala
8536,Donna Shalala
8537,Donna Shalala
8538,Donna Shalala
8539,Donna Shalala
8540,Donna Shalala
8541,Donna Shalala
8542,Donna Shalala
8543,Donna Shalala
8544,Donna Shalala
8545,Donna Shalala
8546,Donna Shalala
8547,Donna Shalala
8548,Donna Shalala
8549,Donna Shalala
8550,Donna Shalala
8551,Donna Shalala
8552,Donna Shalala
8553,Donna Shalala
8554,Donna Shalala
8555,Donna Shalala
8556,Donna Shalala
8557,Donna Shalala
8558,Donna Shalala
8559,Donna Shalala
8560,Donna Shalala
8561,Donna Shalala
8562,Donna Shalala
8563,Donna Shalala
8564,Donna Shalala
8565,Donna Shalala
8566,Donna Shalala
8567,Donna Shalala
8568,Donna Shalala
8569,Donna Shalala
8570,Donna Shalala
8571,Donna Shalala
8572,Donna Shalala
8573,Donna Shalala
8574,Donna Shalala
8575,Donna Shalala
8576,Donna Shalala
8577,Donna Shalala
8578,Donna Shalala
8579,Donna Shalala
8580,Donna Shalala
8581,Donna Shalala
8582,Donna Shalala
8583,Donna Shalala
8584,Donna Shalala
8585,Donna Shalala
8586,Donna Shalala
8587,Donna Shalala
8588,Donna Shalala
8589,Donna Shalala
8590,Donna Shalala
8591,Donna Shalala
8592,Donna Shalala
8593,Donna Shalala
8594,Donna Shalala
8595,Donna Shalala
8596,Donna Shalala
8597,Donna Shalala
8598,Donna Shalala
8599,Donna Shalala
8600,Donna Shalala
8601,Donna Shalala
8602,Donna Shalala
8603,Donna Shalala
8604,Donna Shalala
8605,Donna Shalala
8606,Donna Shalala
8607,Donna Shalala
8608,Donna Shalala
8609,Donna Shalala
8610,Donna Shalala
8611,Donna Shalala
8612,Donna Shalala
8613,Donna Shalala
8614,Donna Shalala
8615,Donna Shalala
8616,Donna Shalala
8617,Donna Shalala
8618,Donna Shalala
8619,Donna Shalala
8620,Donna Shalala
8621,Donna Shalala
8622,Donna Shalala
8623,Donna Shalala
8624,Donna Shalala
8625,Donna Shalala
8626,Donna Shalala
8627,Donna Shalala
8628,Donna Shalala
8629,Donna Shalala
8630,Donna Shalala
8631,Donna Shalala
8632,Donna Shalala
8633,Donna Shalala
8634,Donna Shalala
8635,Donna Shalala
8636,Donna Shalala
8637,Donna Shalala
8638,Donna Shalala
8639,Donna Shalala
8640,Donna Shalala
8641,Donna Shalala
8642,Donna Shalala
8643,Donna Shalala
8644,Donna Shalala
8645,Donna Shalala
8646,Donna Shalala
8647,Donna Shalala
8648,Donna Shalala
8649,Donna Shalala
8650,Donna Shalala
8651,Donna Shalala
8652,Donna Shalala
8653,Donna Shalala
8654,Donna Shalala
8655,Donna Shalala
8656,Donna Shalala
8657,Donna Shalala
8658,Donna Shalala
8659,Donna Shalala
8660,Donna Shalala
8661,Donna Shalala
8662,Donna Shalala
8663,Donna Shalala
8664,Donna Shalala
8665,Donna Shalala
8666,Donna Shalala
8667,Donna Shalala
8668,Donna Shalala
8669,Donna Shalala
8670,Donna Shalala
8671,Donna Shalala
8672,Donna Shalala
8673,Donna Shalala
8674,Donna Shalala
8675,Donna Shalala
8676,Donna Shalala
8677,Donna Shalala
8678,Donna Shalala
8679,Donna Shalala
8680,Donna Shalala
8681,Donna Shalala
8682,Donna Shalala
8683,Donna Shalala
8684,Donna Shalala
8685,Donna Shalala
8686,Donna Shalala
8687,Donna Shalala
8688,Donna Shalala
8689,Donna Shalala
8690,Donna Shalala
8691,Donna Shalala
8692,Donna Shalala
8693,Donna Shalala
8694,Donna Shalala
8695,Donna Shalala
8696,Donna Shalala
8697,Donna Shalala
8698,Donna Shalala
8699,Donna Shalala
8700,Donna Shalala
8701,Donna Shalala
8702,Donna Shalala
8703,Donna Shalala
8704,Donna Shalala
8705,Donna Shalala
8706,Donna Shalala
8707,Donna Shalala
8708,Donna Shalala
8709,Donna Shalala
8710,Donna Shalala
8711,Donna Shalala
8712,Donna Shalala
8713,Donna Shalala
8714,Donna Shalala
8715,Donna Shalala
8716,Donna Shalala
8717,Donna Shalala
8718,Donna Shalala
8719,Donna Shalala
8720,Donna Shalala
8721,Donna Shalala
8722,Donna Shalala
8723,Donna Shalala
8724,Donna Shalala
8725,Donna Shalala
8726,Donna Shalala
8727,Donna Shalala
8728,Donna Shalala
8729,Donna Shalala
8730,Donna Shalala
8731,Donna Shalala
8732,Donna Shalala
8733,Donna Shalala
8734,Donna Shalala
8735,Donna Shalala
8736,Donna Shalala
8737,Donna Shalala
8738,Donna Shalala
8739,Donna Shalala
8740,Donna Shalala
8741,Donna Shalala
8742,Donna Shalala
8743,Donna Shalala
8744,Donna Shalala
8745,Donna Shalala
8746,Donna Shalala
8747,Donna Shalala
8748,Donna Shalala
8749,Donna Shalala
8750,Donna Shalala
8751,Donna Shalala
8752,Donna Shalala
8753,Donna Shalala
8754,Donna Shalala
8755,Donna Shalala
8756,Donna Shalala
8757,Donna Shalala
8758,Donna Shalala
8759,Donna Shalala
8760,Donna Shalala
8761,Donna Shalala
8762,Donna Shalala
8763,Donna Shalala
8764,Donna Shalala
8765,Donna Shalala
8766,Donna Shalala
8767,Donna Shalala
8768,Donna Shalala
8769,Donna Shalala
8770,Donna Shalala
8771,Donna Shalala
8772,Donna Shalala
8773,Donna Shalala
8774,Donna Shalala
8775,Donna Shalala
8776,Donna Shalala
8777,Donna Shalala
8778,Donna Shalala
8779,Donna Shalala
8780,Donna Shalala
8781,Donna Shalala
8782,Donna Shalala
8783,Donna Shalala
8784,Donna Shalala
8785,Donna Shalala
8786,Donna Shalala
8787,Donna Shalala
8788,Donna Shalala
8789,Donna Shalala
8790,Donna Shalala
8791,Donna Shalala
8792,Donna Shalala
8793,Donna Shalala
8794,Donna Shalala
8795,Donna Shalala
8796,Donna Shalala
8797,Donna Shalala
8798,Donna Shalala
8799,Donna Shalala
8800,Donna Shalala
8801,Donna Shalala
8802,Donna Shalala
8803,Donna Shalala
8804,Donna Shalala
8805,Donna Shalala
8806,Donna Shalala
8807,Donna Shalala
8808,Donna Shalala
8809,Donna Shalala
8810,Donna Shalala
8811,Donna Shalala
8812,Donna Shalala
8813,Donna Shalala
8814,Donna Shalala
8815,Donna Shalala
8816,Donna Shalala
8817,Donna Shalala
8818,Donna Shalala
8819,Donna Shalala
8820,Donna Shalala
8821,Donna Shalala
8822,Donna Shalala
8823,Donna Shalala
8824,Donna Shalala
8825,Donna Shalala
8826,Donna Shalala
8827,Donna Shalala
8828,Donna Shalala
8829,Donna Shalala
8830,Donna Shalala
8831,Donna Shalala
8832,Donna Shalala
8833,Donna Shalala
8834,Donna Shalala
8835,Donna Shalala
8836,Donna Shalala
8837,Donna Shalala
8838,Donna Shalala
8839,Donna Shalala
8840,Donna Shalala
8841,Donna Shalala
8842,Donna Shalala
8843,Donna Shalala
8844,Donna Shalala
8845,Donna Shalala
8846,Donna Shalala
8847,Donna Shalala
8848,Donna Shalala
8849,Donna Shalala
8850,Donna Shalala
8851,Donna Shalala
8852,Donna Shalala
8853,Donna Shalala
8854,Donna Shalala
8855,Donna Shalala
8856,Donna Shalala
8857,Donna Shalala
8858,Donna Shalala
8859,Donna Shalala
8860,Donna Shalala
8861,Donna Shalala
8862,Donna Shalala
8863,Donna Shalala
8864,Donna Shalala
8865,Donna Shalala
8866,Donna Shalala
8867,Donna Shalala
8868,Donna Shalala
8869,Donna Shalala
8870,Donna Shalala
8871,Donna Shalala
8872,Donna Shalala
8873,Donna Shalala
8874,Donna Shalala
8875,Donna Shalala
8876,Donna Shalala
8877,Donna Shalala
8878,Donna Shalala
8879,Donna Shalala
8880,Donna Shalala
8881,Donna Shalala
8882,Donna Shalala
8883,Donna Shalala
8884,Donna Shalala
8885,Donna Shalala
8886,Donna Shalala
8887,Donna Shalala
8888,Donna Shalala
8889,Donna Shalala
8890,Donna Shalala
8891,Donna Shalala
8892,Donna Shalala
8893,Donna Shalala
8894,Donna Shalala
8895,Donna Shalala
8896,Donna Shalala
8897,Donna Shalala
8898,Donna Shalala
8899,Donna Shalala
8900,Donna Shalala
8901,Donna Shalala
8902,Donna Shalala
8903,Donna Shalala
8904,Donna Shalala
8905,Donna Shalala
8906,Donna Shalala
8907,Donna Shalala
8908,Donna Shalala
8909,Donna Shalala
8910,Donna Shalala
8911,Donna Shalala
8912,Donna Shalala
8913,Donna Shalala
8914,Donna Shalala
8915,Donna Shalala
8916,Donna Shalala
8917,Donna Shalala
8918,Donna Shalala
8919,Donna Shalala
8920,Donna Shalala
8921,Donna Shalala
8922,David B. McKinley
8923,David B. McKinley
8924,Scott H. Peters
8925,Scott H. Peters
8926,Scott H. Peters
8927,Dean Phillips
8928,Dean Phillips
8929,Dean Phillips
8930,Dean Phillips
8931,Dean Phillips
8932,Dean Phillips
8933,Dean Phillips
8934,Dean Phillips
8935,Lois Frankel
8936,Lois Frankel
8937,Lois Frankel
8938,Lois Frankel
8939,Lois Frankel
8940,Lois Frankel
8941,Lois Frankel
8942,Lois Frankel
8943,Lois Frankel
8944,Lois Frankel
8945,Lois Frankel
8946,Lois Frankel
8947,Lois Frankel
8948,Alan S. Lowenthal
8949,Alan S. Lowenthal
8950,Alan S. Lowenthal
8951,Alan S. Lowenthal
8952,Alan S. Lowenthal
8953,Alan S. Lowenthal
8954,Alan S. Lowenthal
8955,Alan S. Lowenthal
8956,Alan S. Lowenthal
8957,Gilbert Cisneros
8958,Gilbert Cisneros
8959,Gilbert Cisneros
8960,Gilbert Cisneros
8961,Gilbert Cisneros
8962,Gilbert Cisneros
8963,Gilbert Cisneros
8964,Gilbert Cisneros
8965,Gilbert Cisneros
8966,Gilbert Cisneros
8967,Gilbert Cisneros
8968,Gilbert Cisneros
8969,Gilbert Cisneros
8970,Gilbert Cisneros
8971,Gilbert Cisneros
8972,Gilbert Cisneros
8973,Gilbert Cisneros
8974,Gilbert Cisneros
8975,Gilbert Cisneros
8976,Gilbert Cisneros
8977,Gilbert Cisneros
8978,Gilbert Cisneros
8979,Gilbert Cisneros
8980,Gilbert Cisneros
8981,Gilbert Cisneros
8982,Gilbert Cisneros
8983,Gilbert Cisneros
8984,Gilbert Cisneros
8985,Gilbert Cisneros
8986,Gilbert Cisneros
8987,Gilbert Cisneros
8988,Gilbert Cisneros
8989,Gilbert Cisneros
8990,Gilbert Cisneros
8991,Gilbert Cisneros
8992,Gilbert Cisneros
8993,Gilbert Cisneros
8994,Gilbert Cisneros
8995,Gilbert Cisneros
8996,Gilbert Cisneros
8997,Gilbert Cisneros
8998,Gilbert Cisneros
8999,Gilbert Cisneros
9000,Gilbert Cisneros
9001,Gilbert Cisneros
9002,Gilbert Cisneros
9003,Gilbert Cisneros
9004,Gilbert Cisneros
9005,Gilbert Cisneros
9006,Gilbert Cisneros
9007,Gilbert Cisneros
9008,Gilbert Cisneros
9009,Pete Sessions
9010,Pete Sessions
9011,David P. Joyce
9012,David P. Joyce
9013,David P. Joyce
9014,David P. Joyce
9015,David P. Joyce
9016,David P. Joyce
9017,David P. Joyce
9018,David P. Joyce
9019,David P. Joyce
9020,David P. Joyce
9021,David P. Joyce
9022,David P. Joyce
9023,David P. Joyce
9024,David P. Joyce
9025,David P. Joyce
9026,David P. Joyce
9027,David P. Joyce
9028,David P. Joyce
9029,David P. Joyce
9030,David P. Joyce
9031,David P. Joyce
9032,David P. Joyce
9033,David P. Joyce
9034,David P. Joyce
9035,David P. Joyce
9036,David P. Joyce
9037,David P. Joyce
9038,David P. Joyce
9039,David P. Joyce
9040,Joe Courtney
9041,Joe Courtney
9042,Joe Courtney
9043,Joe Courtney
9044,Joe Courtney
9045,Joe Courtney
9046,Joe Courtney
9047,Joe Courtney
9048,Joe Courtney
9049,Joe Courtney
9050,Joe Courtney
9051,Joe Courtney
9052,Joe Courtney
9053,Joe Courtney
9054,Joe Courtney
9055,Joe Courtney
9056,Joe Courtney
9057,Joe Courtney
9058,Joe Courtney
9059,Joe Courtney
9060,Joe Courtney
9061,Joe Courtney
9062,Joe Courtney
9063,Joe Courtney
9064,Joe Courtney
9065,Joe Courtney
9066,Joe Courtney
9067,Joe Courtney
9068,Joe Courtney
9069,Joe Courtney
9070,Joe Courtney
9071,Joe Courtney
9072,Joe Courtney
9073,Joe Courtney
9074,Joe Courtney
9075,Lloyd Doggett
9076,Virginia Foxx
9077,Virginia Foxx
9078,Virginia Foxx
9079,Virginia Foxx
9080,Christopher L. Jacobs
9081,Christopher L. Jacobs
9082,Christopher L. Jacobs
9083,Christopher L. Jacobs
9084,Christopher L. Jacobs
9085,Christopher L. Jacobs
9086,Christopher L. Jacobs
9087,Christopher L. Jacobs
9088,Christopher L. Jacobs
9089,Christopher L. Jacobs
9090,Christopher L. Jacobs
9091,Christopher L. Jacobs
9092,Christopher L. Jacobs
9093,Christopher L. Jacobs
9094,Christopher L. Jacobs
9095,Christopher L. Jacobs
9096,Christopher L. Jacobs
9097,Christopher L. Jacobs
9098,Christopher L. Jacobs
9099,Christopher L. Jacobs
9100,Christopher L. Jacobs
9101,Christopher L. Jacobs
9102,David E. Price
9103,James M. Costa
9104,Debbie Dingell
9105,Debbie Dingell
9106,Debbie Dingell
9107,Suzan K. DelBene
9108,Suzan K. DelBene
